exponent,min_runtime_new,min_runtime_old
112,3.0900118872523308e-06,1.1719996109604836e-05
113,3.540000761859119e-06,1.1869997251778841e-05
114,3.4999975468963385e-06,1.1679992894642055e-05
115,3.850000211969018e-06,1.1779993656091392e-05
116,3.4099939512088895e-06,1.1840005754493177e-05
117,3.850000211969018e-06,1.182999403681606e-05
118,3.810011548921466e-06,1.1880008969455957e-05
119,4.179993993602693e-06,1.2069998774677515e-05
120,3.430002834647894e-06,1.2109987437725067e-05
121,3.850000211969018e-06,1.2260003131814301e-05
122,3.859997377730906e-06,1.2279997463338077e-05
123,4.2100000428035855e-06,1.252999936696142e-05
124,3.8800062611699104e-06,1.2579999747686088e-05
125,4.350004019215703e-06,1.2760006939060986e-05
126,4.159999662078917e-06,1.2809992767870426e-05
127,4.639994585886598e-06,1.2859993148595095e-05
128,2.8400099836289883e-06,1.3040000339969993e-05
129,3.2099924283102155e-06,1.3069991837255657e-05
130,3.1899980967864394e-06,1.2040007277391851e-05
131,3.23000131174922e-06,1.0570001904852688e-05
132,2.8899958124384284e-06,1.0649993782863021e-05
133,3.259992809034884e-06,1.082000380847603e-05
134,3.5700068110600114e-06,1.0849995305761695e-05
135,3.5500124795362353e-06,1.1020005331374705e-05
136,2.900007530115545e-06,1.121000968851149e-05
137,3.2500101951882243e-06,1.4680001186206937e-05
138,3.779990947805345e-06,1.4389996067620814e-05
139,4.159999662078917e-06,1.5789992175996304e-05
140,4.3199979700148106e-06,1.8489998183213174e-05
141,4.859990440309048e-06,1.854999572969973e-05
142,4.3900072341784835e-06,1.8609993276186287e-05
143,5.289999535307288e-06,1.6609992599114776e-05
144,3.5999983083456755e-06,1.672998769208789e-05
145,4.040004569105804e-06,1.7009006114676595e-05
146,4.011002602055669e-06,1.7189988284371793e-05
147,4.449000698514283e-06,1.720899308566004e-05
148,4.050001734867692e-06,1.714999962132424e-05
149,4.5109918573871255e-06,1.714999962132424e-05
150,4.5100023271515965e-06,1.7259997548535466e-05
151,4.9000082071870565e-06,1.7169993952848017e-05
152,4.0800077840685844e-06,1.592999615240842e-05
153,4.439993062987924e-06,1.7479993402957916e-05
154,4.469999112188816e-06,1.7610000213608146e-05
155,4.959991201758385e-06,1.7600003047846258e-05
156,4.460001946426928e-06,1.7880011000670493e-05
157,4.920002538710833e-06,1.807000080589205e-05
158,4.88999648950994e-06,1.815000723581761e-05
159,5.23999915458262e-06,1.838000025600195e-05
160,3.610010026022792e-06,1.838000025600195e-05
161,4.089990397915244e-06,1.8520004232414067e-05
162,4.1199964471161366e-06,1.8740000086836517e-05
163,4.529996658675373e-06,1.8860009731724858e-05
164,4.079993232153356e-06,1.885999517980963e-05
165,4.529996658675373e-06,1.8999999156221747e-05
166,4.489993443712592e-06,1.9269995391368866e-05
167,4.920002538710833e-06,1.9430008251219988e-05
168,4.1199964471161366e-06,1.9939994672313333e-05
169,4.49999060947448e-06,1.976999919861555e-05
170,4.54900145996362e-06,1.9879997125826776e-05
171,4.949994035996497e-06,1.9890008843503892e-05
172,4.5199994929134846e-06,1.9929997506551445e-05
173,5.351001163944602e-06,4.142899706494063e-05
174,6.839996785856783e-06,3.052000829484314e-05
175,7.708993507549167e-06,3.579999611247331e-05
176,5.220004823058844e-06,2.8950002160854638e-05
177,5.839989171363413e-06,2.2730004275217652e-05
178,5.839989171363413e-06,2.440900425426662e-05
179,5.41000918019563e-06,2.4520006263628602e-05
180,4.980000085197389e-06,2.1729996660724282e-05
181,4.929999704472721e-06,2.1890009520575404e-05
182,5.009991582483053e-06,2.173999382648617e-05
183,5.440000677481294e-06,2.151999797206372e-05
184,4.589994205161929e-06,2.1529995137825608e-05
185,4.729998181574047e-06,2.330999996047467e-05
186,4.7100038500502706e-06,2.3419997887685895e-05
187,5.139998393133283e-06,2.3369997506961226e-05
188,4.760004230774939e-06,2.0459992811083794e-05
189,4.999994416721165e-06,2.012999902945012e-05
190,5.320005584508181e-06,2.174999099224806e-05
191,5.730005796067417e-06,2.2380001610144973e-05
192,3.659995854832232e-06,2.182000025641173e-05
193,3.850000211969018e-06,2.161000156775117e-05
194,4.0900049498304725e-06,1.6400008462369442e-05
195,3.640001523308456e-06,1.6480000340379775e-05
196,4.050001734867692e-06,2.2909996914677322e-05
197,4.6000059228390455e-06,1.6610007151030004e-05
198,3.589986590668559e-06,1.680999412201345e-05
199,4.860004992224276e-06,2.336000034119934e-05
200,4.1199964471161366e-06,1.680999412201345e-05
201,3.630004357546568e-06,2.2990003344602883e-05
202,4.62999742012471e-06,2.3500004317611456e-05
203,4.899993655271828e-06,1.710999640636146e-05
204,3.6600104067474604e-06,2.3810003767721355e-05
205,4.949994035996497e-06,2.3979999241419137e-05
206,5.070003680884838e-06,1.7479993402957916e-05
207,4.3199979700148106e-06,1.7660000594332814e-05
208,4.240006092004478e-06,2.4280001525767148e-05
